,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving
"Cedar Rapids, IA","$86,227 ","$61,425 ","$76,125 ","$68,708 ","$56,991 ","$40,758 ","$60,941 ","$45,078 ","$35,820 ","$57,732 ","$30,172 ","$41,694 ","$20,410 ","$26,057 ","$23,815 ","$25,708 ","$35,182 ","$32,795 ","$44,111 ","$45,027 ","$35,635 ","$35,223 "
"Beaverton, OR","$94,673 ","$66,578 ","$85,322 ","$82,164 ","$60,015 ","$46,621 ","$76,578 ","$50,695 ","$48,535 ","$83,542 ","$36,139 ","$48,164 ","$24,514 ","$28,485 ","$26,531 ","$29,442 ","$37,178 ","$31,458 ","$49,327 ","$46,148 ","$36,293 ","$34,719 "
"Coeur d'Alene, ID","$72,401 ","$58,020 ","$68,194 ","$78,059 ","$51,199 ","$41,704 ","$63,801 ","$36,458 ","$33,958 ","$63,163 ","$28,783 ","$39,492 ","$19,731 ","$24,617 ","$22,488 ","$25,924 ","$32,189 ","$24,422 ","$39,060 ","$41,642 ","$33,083 ","$32,353 "
"Naperville, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Mountain View, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Pleasanton, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Marlborough, MA","$116,461 ","$77,020 ","$95,053 ","$88,439 ","$76,382 ","$44,718 ","$100,619 ","$62,464 ","$57,927 ","$81,341 ","$34,081 ","$55,448 ","$26,078 ","$35,017 ","$29,637 ","$30,748 ","$41,992 ","$30,368 ","$59,100 ","$53,627 ","$38,536 ","$35,161 "
"Yuba City, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Overland Park, KS","$91,607 ","$62,289 ","$71,455 ","$74,644 ","$59,779 ","$39,719 ","$59,871 ","$42,301 ","$38,927 ","$57,330 ","$26,675 ","$36,972 ","$20,019 ","$25,080 ","$22,179 ","$26,078 ","$33,197 ","$31,911 ","$41,056 ","$44,091 ","$36,849 ","$34,318 "
"Edison, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
