City_state,Health
"Alexandria, VA","$2,472 "
"Kalamazoo, MI","$2,214 "
"West Chester, PA","$2,321 "
"Trenton, NJ","$2,737 "
"Annapolis, MD","$2,479 "
"Kennewick, WA","$1,955 "
"Myrtle Beach, SC","$2,342 "
"Geneva, IL","$2,473 "
"Dothan, AL","$2,496 "
"Ames, IA","$2,237 "
"Arlington, TX","$2,174 "
"Silver Spring, MD","$2,479 "
"Charlottesville, VA","$2,472 "
"West Hartford, CT","$2,483 "
"Youngstown, OH","$2,332 "
"Augusta, GA","$2,392 "
"Eugene, OR","$2,000 "
"Ocala, FL","$2,555 "
"Amarillo, TX","$2,174 "
"Green Bay, WI","$2,384 "
"Redmond, WA","$1,955 "
"Bentonville, AR","$2,213 "
"Columbia, MO","$2,267 "
"Bend, OR","$2,000 "
"Columbia, MD","$2,479 "
"Charleston, WV","$2,185 "
"Hilo, HI","$1,665 "
"Billings, MT","$2,349 "
"Cedar Rapids, IA","$2,237 "
"Beaverton, OR","$2,000 "
"Coeur d'Alene, ID","$1,839 "
"Naperville, IL","$2,473 "
"Mountain View, CA","$2,121 "
"Pleasanton, CA","$2,121 "
"Marlborough, MA","$2,660 "
"Yuba City, CA","$2,121 "
"Overland Park, KS","$2,244 "
"Edison, NJ","$2,737 "
"Jackson, TN","$2,208 "
"Deltona, FL","$2,555 "
"Peoria, IL","$2,473 "
"Berkeley, CA","$2,121 "
"Gulfport, MS","$2,383 "
"Chapel Hill, NC","$2,165 "
"Wichita Falls, TX","$2,174 "
"Ithaca, NY","$2,338 "
"Panama City, FL","$2,555 "
"Brooklyn, NY","$2,338 "
"Everett, WA","$1,955 "
"Abilene, TX","$2,174 "
"Bellevue, WA","$1,955 "
"Sheridan, WY","$2,172 "
"Lansing, MI","$2,214 "
"Teaneck, NJ","$2,737 "
"Queens, NY","$2,338 "
"Sarasota, FL","$2,555 "
"Hayward, CA","$2,121 "
"Wilmington, DE","$2,390 "
"Flagstaff, AZ","$2,262 "
"Aberdeen, WA","$1,955 "
"Salem, OR","$2,000 "
"Cheyenne, WY","$2,172 "
"Cambridge, MA","$2,660 "
"Cherry Hill, NJ","$2,737 "
"Morgantown, WV","$2,185 "
"Reston, VA","$2,472 "
"Mansfield, OH","$2,332 "
"Boulder, CO","$2,367 "
"Daytona Beach, FL","$2,555 "
"Key West, FL","$2,555 "
"Sunnyvale, CA","$2,121 "
"Victorville, CA","$2,121 "
"Bozeman, MT","$2,349 "
"Bronx, NY","$2,338 "
"Des Plaines, IL","$2,473 "
"Passaic, NJ","$2,737 "
"Seward, AK","$2,299 "
"Elkhart, IN","$2,268 "
"Canton, OH","$2,332 "
"Boca Raton, FL","$2,555 "
"Belleville, IL","$2,473 "
"Logan, UT","$2,138 "
"Waldorf, MD","$2,479 "
"Oceanside, CA","$2,121 "
"Grand Junction, CO","$2,367 "
"Chandler, AZ","$2,262 "
"Spartanburg, SC","$2,342 "
"Allen, TX","$2,174 "
"Somerset, NJ","$2,737 "
"Bloomington, IL","$2,473 "
"Alpharetta, GA","$2,392 "
"Cary, NC","$2,165 "
"Astoria, NY","$2,338 "
"Henderson, NV","$2,213 "
"Schaumburg, IL","$2,473 "
"Delray Beach, FL","$2,555 "
"Ogden, UT","$2,138 "
"Hollywood, FL","$2,555 "
"Bethlehem, PA","$2,321 "
"Garden Grove, CA","$2,121 "
"San Rafael, CA","$2,121 "
"White Plains, NY","$2,338 "
"San Mateo, CA","$2,121 "
"Lisle, IL","$2,473 "
"Pasadena, CA","$2,121 "
"Champaign, IL","$2,473 "
"Rock Springs, WY","$2,172 "
"Denton, TX","$2,174 "
"Grapevine, TX","$2,174 "
"Sioux City, IA","$2,237 "
"Texarkana, TX","$2,174 "
"Katy, TX","$2,174 "
