,Data Scientist Position,Company,City,State,Salary,CoL,Federal_Tax,State_Tax,DI,qol
0,Data Scientist,ASML,San Jose,California,144000,47337.88292,34560,13392,48710.11708,186.8017889
1,Data Scientist,Packsize,Salt Lake City,Utah,112169,28253.87059,26920.56,5552.3655,51442.20391,173.9928811
3,Data Science Engineer,Apple,Austin,Texas,127095,35108.09048,30502.8,0,61484.10952,189.834151
5,Data Engineer,GameChanger,New York,New York,134958,56298.48758,32389.92,8758.7742,37510.81822,140.8206387
6,Applied Data Scientist,Yelp,San Francisco,California,130405,58150.7605,31297.2,12127.665,28829.3745,177.8264459
8,Data Scientist,IBM,Raleigh,North Carolina,112045,28685.95119,26890.8,5882.3625,50585.88631,196.1380977
9,Data Scientist,Amazon,Santa Barbara,California,106229,37716.66144,25494.96,9879.297,33138.08156,0
